ID,EnumName,DisplayName,IsFamilyInstanceCreatable,IsObsolete,IsAnnotation,IsFamilyFileCreatable,IsVirtual,ForLLM
-2000278,OST_Viewers,Viewers,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000510,OST_Viewports,Viewports,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000279,OST_Views,Views,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
-2000896,OST_WallRefPlanes,Wall Reference Planes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-20000896,OST_WallRefPlanes_Obsolete_IdInWrongRange,Wall Reference Planes (Obsolete),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
-2001072,OST_WallSweepTags,Wall Sweep Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2000181,OST_Cornices,Wall Sweeps,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2005011,OST_WallTags,Wall Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2009640,OST_WallAnalytical,WallAnalytical,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009653,OST_WallAnalyticalTags,WallAnalyticalTags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2001035,OST_WallCoreLayer,WallCoreLayer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009642,OST_WallFoundationAnalytical,WallFoundationAnalytical,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009655,OST_WallFoundationAnalyticalTags,WallFoundationAnalyticalTags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2001105,OST_WallLayers,WallLayers,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000974,OST_WallLocalCoordSys,WallLocalCoordSys,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000011,OST_Walls,Walls,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
-2000545,OST_WallsAnalyticalGeometry,Walls Analytical Geometry,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000012,OST_WallsCutOutlines,Walls Cut Outlines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000588,OST_WallsCutPattern,Walls Cut Pattern,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000586,OST_WallsDefault,Walls Default Common Edges,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000584,OST_WallsFinish1,Walls Finish 1 [4],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000585,OST_WallsFinish2,Walls Finish 2 [5],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000580,OST_WallsMembrane,Walls Membrane Layer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000013,OST_WallsProjectionOutlines,Walls Projection Outlines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000581,OST_WallsStructure,Walls Structure [1],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000583,OST_WallsSubstrate,Walls Substrate [2],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000540,OST_WallsSurfacePattern,Walls Surface Pattern,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000582,OST_WallsInsulation,Walls Thermal/Air Layer [3],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001009,OST_MEPAnalyticalWaterLoop,Water Loops,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009605,OST_TrussWeb,Web,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009059,OST_StructConnectionWeldTags,Weld Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2009046,OST_StructConnectionWelds,Welds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000044,OST_CurvesWideLines,Wide Lines,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2005213,OST_LoadCasesWind,Wind Loads,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000450,OST_WindowTags,Window Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2000014,OST_Windows,Windows,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
-2000017,OST_WindowsFrameMullionCut,Windows Frame Mullion Cut,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000018,OST_WindowsFrameMullionProjection,Windows Frame/Mullion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000016,OST_WindowsGlassProjection,Windows Glass,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000015,OST_WindowsGlassCut,Windows Glass Cut,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009500,OST_WindowsHiddenLines,Windows Hidden Lines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000022,OST_WindowsOpeningProjection,Windows Opening,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000021,OST_WindowsOpeningCut,Windows Opening Cut,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000019,OST_WindowsSillHeadCut,Windows Sill Head Cut,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2008112,OST_WireInsulations,Wire Insulations,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2008111,OST_WireMaterials,Wire Materials,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2008057,OST_WireTags,Wire Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2008113,OST_WireTemperatureRatings,Wire Temperature Ratings,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2008074,OST_WireTickMarks,Wire Tick Marks,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
-2008039,OST_Wire,Wires,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2147483648,Worksets,Worksets,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
-2000720,OST_XRayConstrainedProfileEdge,X-Ray Constrained Profile Edge,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000719,OST_XRayImplicitPathCurve,X-Ray Implicit Path,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000717,OST_XRayPathCurve,X-Ray Path,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000718,OST_XRayPathPoint,X-Ray Path Point,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000715,OST_XRayProfileEdge,X-Ray Profile Edge,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000716,OST_XRaySideEdge,X-Ray Side Edge,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001010,OST_ZoneEquipment,Zone Equipment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2003225,OST_ZoneSchemes,Zone Schemes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2008115,OST_ZoneTags,Zone Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2003406,OST_ZoningEnvelope,Zoning Envelope,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
